sda             76,00    0,00  20260,00      0,00     0,00     0,00   0,00   0,00    5,42    0,00   0,41   266,58     0,00   3,53  26,80
sda             78,00    0,00  20772,00      0,00     0,00     0,00   0,00   0,00    4,67    0,00   0,36   266,31     0,00   3,13  24,40
sda             78,00    0,00  20624,00      0,00     0,00     0,00   0,00   0,00    5,08    0,00   0,40   264,41     0,00   3,38  26,40
sda             73,00    2,00  19856,00     20,00     1,00     3,00   1,35  60,00    5,59   14,00   0,44   272,00    10,00   3,84  28,80
sda             78,00    0,00  20628,00      0,00     0,00     0,00   0,00   0,00    4,72    0,00   0,37   264,46     0,00   3,23  25,20
sda             38,00   32,00  10120,00  32768,00     1,00     2,00   2,56   5,88    5,47  251,00  28,02   266,32  1024,00   9,09  63,60
sda             25,00   43,00   6192,00  42364,00     0,00     0,00   0,00   0,00  104,00  912,65 129,93   247,68   985,21  14,71 100,00
sda             22,00   45,00   6236,00  45824,00     0,00     0,00   0,00   0,00   67,27 1387,29 146,80   283,45  1018,31  14,93 100,00
sda             16,00   53,00   3884,00  53288,00     0,00     9,00   0,00  14,52   62,50 2381,43 140,84   242,75  1005,43  14,49 100,00
sda             21,00   42,00   5068,00  43008,00     0,00     0,00   0,00   0,00   80,38 3051,24 145,26   241,33  1024,00  15,87 100,00
sda             26,00   41,00   7084,00  42240,00     0,00     0,00   0,00   0,00   64,46 3141,56 143,88   272,46  1030,24  14,93 100,00
sda             21,00   44,00   5292,00  45056,00     0,00     0,00   0,00   0,00   73,14 3163,82 141,32   252,00  1024,00  15,38 100,00
sda             22,00   46,00   6232,00  47104,00     0,00     0,00   0,00   0,00   82,00 3230,26 146,74   283,27  1024,00  14,71 100,00
sda             23,00   42,00   5828,00  41728,00     0,00     0,00   0,00   0,00   63,13 3317,14 143,38   253,39   993,52  15,38 100,00
sda             22,00   48,00   5500,00  48384,00     0,00     0,00   0,00   0,00   79,82 3124,75 144,30   250,00  1008,00  14,29 100,00
sda             23,00   45,00   6144,00  45824,00     0,00     0,00   0,00   0,00   75,48 3129,33 144,94   267,13  1018,31  14,71 100,00
sda             20,00   43,00   5584,00  44288,00     0,00     0,00   0,00   0,00   74,40 3245,58 124,22   279,20  1029,95  15,87 100,00
sda             24,00   44,00   6136,00  45056,00     0,00     0,00   0,00   0,00   60,33 3183,18  82,81   255,67  1024,00  14,71 100,00
sda             25,00   43,00   6748,00  43776,00     0,00     0,00   0,00   0,00   69,44 3297,95  37,46   269,92  1018,05  14,71 100,00
sda             51,00   18,00  14248,00  15408,00     2,00     9,00   3,77  33,33   17,96 2706,22   3,57   279,37   856,00   8,75  60,40
